Country Name,Country Code,2012
Aruba,ABW,
Afghanistan,AFG,20536542737
Angola,AGO,1.15398E+11
Albania,ALB,12319784787
Andorra,AND,3146151869
Arab World,ARB,2.74054E+12
United Arab Emirates,ARE,3.74818E+11
Argentina,ARG,5.45982E+11
Armenia,ARM,10619320049
American Samoa,ASM,644000000
Antigua and Barbuda,ATG,1216045778
Australia,AUS,1.53819E+12
Austria,AUT,4.07452E+11
Azerbaijan,AZE,69684317719
Burundi,BDI,2472384907
Belgium,BEL,4.97884E+11
Benin,BEN,8152554487
Burkina Faso,BFA,11166061508
Bangladesh,BGD,1.33356E+11
Bulgaria,BGR,53903028252
Bahrain,BHR,30749308511
"Bahamas, The",BHS,8399000000
Bosnia and Herzegovina,BIH,17207367626
Belarus,BLR,65685903833
Belize,BLZ,1573618750
Bermuda,BMU,5537537000
Bolivia,BOL,27084497540
Brazil,BRA,2.46519E+12
Barbados,BRB,4332150000
Brunei Darussalam,BRN,19048495519
Bhutan,BTN,1823692110
Botswana,BWA,14686278714
Central African Republic,CAF,2184183758
Canada,CAN,1.82429E+12
Central Europe and the Baltics,CEB,1.35078E+12
Switzerland,CHE,6.65054E+11
Channel Islands,CHI,
Chile,CHL,2.67122E+11
China,CHN,8.56055E+12
Cote d'Ivoire,CIV,27040562587
Cameroon,CMR,26472056038
"Congo, Dem. Rep.",COD,27463220380
"Congo, Rep.",COG,13677930124
Colombia,COL,3.6966E+11
Comoros,COM,570865941.2
Cabo Verde,CPV,1751888562
Costa Rica,CRI,46473128286
Caribbean small states,CSS,67860562821
Cuba,CUB,73141000000
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,25012206090
Czech Republic,CZE,2.07376E+11
Germany,DEU,3.54398E+12
Djibouti,DJI,1353632942
Dominica,DMA,485905592.6
Denmark,DNK,3.27149E+11
Dominican Republic,DOM,60613645121
Algeria,DZA,2.09047E+11
East Asia & Pacific (excluding high income),EAP,1.07381E+13
Early-demographic dividend,EAR,9.95622E+12
East Asia & Pacific,EAS,2.10131E+13
Europe & Central Asia (excluding high income),ECA,4.07088E+12
Europe & Central Asia,ECS,2.22783E+13
Ecuador,ECU,87924544000
"Egypt, Arab Rep.",EGY,2.79373E+11
Euro area,EMU,1.26376E+13
Eritrea,ERI,
Spain,ESP,1.33595E+12
Estonia,EST,23043864510
Ethiopia,ETH,43310721414
European Union,EUU,1.72717E+13
Fragile and conflict affected situations,FCS,7.49212E+11
Finland,FIN,2.56706E+11
Fiji,FJI,3972012571
France,FRA,2.68142E+12
Faroe Islands,FRO,2356505419
"Micronesia, Fed. Sts.",FSM,325835200
Gabon,GAB,17171447372
United Kingdom,GBR,2.646E+12
Georgia,GEO,15846474596
Ghana,GHA,41939728979
Gibraltar,GIB,
Guinea,GIN,5667229759
"Gambia, The",GMB,912569686.8
Guinea-Bissau,GNB,995582062.3
Equatorial Guinea,GNQ,22389627294
Greece,GRC,2.45671E+11
Grenada,GRD,799882148.1
Greenland,GRL,2408666379
Guatemala,GTM,50388454861
Guam,GUM,5199000000
Guyana,GUY,2851154076
High income,HIC,4.87901E+13
"Hong Kong SAR, China",HKG,2.62629E+11
Honduras,HND,18528554861
Heavily indebted poor countries (HIPC),HPC,5.58429E+11
Croatia,HRV,56485301967
Haiti,HTI,7890216508
Hungary,HUN,1.27321E+11
IBRD only,IBD,2.50021E+13
IDA & IBRD total,IBT,2.67681E+13
IDA total,IDA,1.76812E+12
IDA blend,IDB,8.83072E+11
Indonesia,IDN,9.1787E+11
IDA only,IDX,8.75854E+11
Isle of Man,IMN,6433357030
India,IND,1.82764E+12
Not classified,INX,
Ireland,IRL,2.25819E+11
"Iran, Islamic Rep.",IRN,5.87209E+11
Iraq,IRQ,2.18001E+11
Iceland,ISL,14218575093
Israel,ISR,2.57642E+11
Italy,ITA,2.07282E+12
Jamaica,JAM,14802430173
Jordan,JOR,30937277606
Japan,JPN,6.20321E+12
Kazakhstan,KAZ,2.07999E+11
Kenya,KEN,50412754822
Kyrgyz Republic,KGZ,6605139933
Cambodia,KHM,14038383450
Kiribati,KIR,188045661.6
St. Kitts and Nevis,KNA,734462666.7
"Korea, Rep.",KOR,1.22281E+12
Kuwait,KWT,1.7407E+11
Latin America & Caribbean (excluding high income),LAC,5.63979E+12
Lao PDR,LAO,10191367558
Lebanon,LBN,43205095854
Liberia,LBR,1735500000
Libya,LBY,
St. Lucia,LCA,1298815407
Latin America & Caribbean,LCN,6.11841E+12
Least developed countries: UN classification,LDC,7.96749E+11
Low income,LIC,3.52305E+11
Liechtenstein,LIE,5456009385
Sri Lanka,LKA,68434399083
Lower middle income,LMC,5.52656E+12
Low & middle income,LMY,2.59684E+13
Lesotho,LSO,2678243067
Late-demographic dividend,LTE,1.75886E+13
Lithuania,LTU,42847900766
Luxembourg,LUX,56677961787
Latvia,LVA,28119996053
"Macao SAR, China",MAC,43031577366
St. Martin (French part),MAF,
Morocco,MAR,98266306615
Monaco,MCO,
Moldova,MDA,7284686576
Madagascar,MDG,9919780071
Maldives,MDV,2518312129
Middle East & North Africa,MEA,3.51729E+12
Mexico,MEX,1.1866E+12
Marshall Islands,MHL,185055800
Middle income,MIC,2.56715E+13
"Macedonia, FYR",MKD,9745251126
Mali,MLI,12442747897
Malta,MLT,9198987220
Myanmar,MMR,59731122170
Middle East & North Africa (excluding high income),MNA,1.66816E+12
Montenegro,MNE,4087724528
Mongolia,MNG,12292770631
Northern Mariana Islands,MNP,751000000
Mozambique,MOZ,14534278446
Mauritania,MRT,5225532807
Mauritius,MUS,11668685524
Malawi,MWI,6028470989
Malaysia,MYS,3.14443E+11
North America,NAC,1.79851E+13
Namibia,NAM,13016272899
New Caledonia,NCL,
Niger,NER,6942209595
Nigeria,NGA,4.60954E+11
Nicaragua,NIC,10532001130
Netherlands,NLD,8.28947E+11
Norway,NOR,5.09705E+11
Nepal,NPL,18851513891
Nauru,NRU,103811958.8
New Zealand,NZL,1.76193E+11
OECD members,OED,4.78069E+13
Oman,OMN,76689583317
Other small states,OSS,4.13404E+11
Pakistan,PAK,2.24384E+11
Panama,PAN,39954761200
Peru,PER,1.92649E+11
Philippines,PHL,2.50092E+11
Palau,PLW,214200000
Papua New Guinea,PNG,15391629871
Poland,POL,5.00344E+11
Pre-demographic dividend,PRE,1.27787E+12
Puerto Rico,PRI,1.01081E+11
"Korea, Dem. People¡¯s Rep.",PRK,
Portugal,PRT,2.16368E+11
Paraguay,PRY,24595319574
West Bank and Gaza,PSE,11279400000
Pacific island small states,PSS,8109258574
Post-demographic dividend,PST,4.54312E+13
French Polynesia,PYF,
Qatar,QAT,1.86834E+11
Romania,ROU,1.71665E+11
Russian Federation,RUS,2.17014E+12
Rwanda,RWA,7315702176
South Asia,SAS,2.29754E+12
Saudi Arabia,SAU,7.35975E+11
Sudan,SDN,68125631150
Senegal,SEN,14202389642
Singapore,SGP,2.89162E+11
Solomon Islands,SLB,1025125082
Sierra Leone,SLE,3801862611
El Salvador,SLV,23813600000
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,40742313861
Sub-Saharan Africa (excluding high income),SSA,1.60678E+12
South Sudan,SSD,10368813559
Sub-Saharan Africa,SSF,1.60792E+12
Small states,SST,4.8931E+11
Sao Tome and Principe,STP,252560557.1
Suriname,SUR,4980000000
Slovak Republic,SVK,93413992956
Slovenia,SVN,46258247575
Sweden,SWE,5.43881E+11
Swaziland,SWZ,4807282468
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1134267367
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,12368071039
East Asia & Pacific (IDA & IBRD countries),TEA,1.07174E+13
Europe & Central Asia (IDA & IBRD countries),TEC,4.57122E+12
Togo,TGO,3866617463
Thailand,THA,3.9756E+11
Tajikistan,TJK,7633049792
Turkmenistan,TKM,35164210526
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.91268E+12
Timor-Leste,TLS,1293000000
Middle East & North Africa (IDA & IBRD countries),TMN,1.65687E+12
Tonga,TON,472441383
South Asia (IDA & IBRD),TSA,2.29754E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.60792E+12
Trinidad and Tobago,TTO,25694164489
Tunisia,TUN,45044176964
Turkey,TUR,8.73982E+11
Tuvalu,TUV,39875750.67
Tanzania,TZA,39087748240
Uganda,UGA,23516083900
Ukraine,UKR,1.75781E+11
Upper middle income,UMC,2.01414E+13
Uruguay,URY,51264390121
United States,USA,1.61553E+13
Uzbekistan,UZB,51821573338
St. Vincent and the Grenadines,VCT,692933740.7
"Venezuela, RB",VEN,3.81286E+11
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,4095000000
Vietnam,VNM,1.5582E+11
Vanuatu,VUT,781702874.1
World,WLD,7.48023E+13
Samoa,WSM,801152293.3
Kosovo,XKX,6473724785
"Yemen, Rep.",YEM,35401339869
South Africa,ZAF,3.96328E+11
Zambia,ZMB,25503370699
Zimbabwe,ZWE,14058378300